Origin Country,Destination Country,HS Code,HTS / Regional Tariff Flag,Product Category,Product Description,Package Type & Weight Range,Mode of Transport,Required Documents
South Africa,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Road, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Japan,Brazil,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
India,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
Canada,United States,620342,Yes,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
Australia,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
China,Canada,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Rail, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
United Kingdom,China,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
Australia,Indonesia,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Air, Commercial Invoice; Insurance Certificate; Packing List
South Africa,Australia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
Germany,China,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Rail, Commercial Invoice; Insurance Certificate; Packing List
Mexico,United States,870323,Yes,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
South Africa,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Rail, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
France,India,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Rail, Commercial Invoice; Import Export Code (IEC); Packing List
United Kingdom,Brazil,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
India,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
Brazil,Mexico,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Mexico,United States,280700,Yes,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Singapore,Indonesia,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
Mexico,Canada,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Rail, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
United States,Mexico,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, Commercial Invoice; Packing List
Singapore,France,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Air, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
China,Australia,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Singapore,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Rail, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Indonesia,UAE,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
India,Singapore,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
United Kingdom,China,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
United Kingdom,India,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Road, Commercial Invoice; Dangerous Goods Declaration; Import Export Code (IEC); MSDS; Packing List
UAE,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Air, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Indonesia,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Sea, Commercial Invoice; Packing List
Mexico,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Indonesia,Mexico,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Canada,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List
South Africa,Singapore,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
South Africa,China,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Sea, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Singapore,Mexico,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
Mexico,Singapore,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Air, Commercial Invoice; Packing List
France,United States,280700,Yes,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Mexico,Canada,850440,Yes,Electronics,AC/DC power adapters,Pallets (200–800 kg),Sea,BIS Compliance;  CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Brazil,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Canada,China,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
United States,India,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List; Type Approval Certificate
Singapore,France,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Road, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
United Kingdom,Indonesia,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
United Kingdom,Mexico,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Brazil,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Mexico,Japan,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Air, Commercial Invoice; Packing List; Type Approval Certificate
Singapore,Canada,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Sea, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
Indonesia,France,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Canada,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Road, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Australia,India,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Road, Commercial Invoice; Import Export Code (IEC); Packing List
Indonesia,Japan,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United Kingdom,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Road, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Brazil,Indonesia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, Commercial Invoice; Insurance Certificate; Packing List
Indonesia,China,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Road, Commercial Invoice; Packing List
Japan,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
India,China,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Brazil,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Singapore,Australia,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Mexico,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Germany,Indonesia,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
Canada,Germany,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Indonesia,Japan,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Indonesia,United States,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
Mexico,Singapore,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
India,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
India,Mexico,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
Australia,South Africa,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
UAE,Indonesia,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
UAE,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
United Kingdom,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Air, Commercial Invoice; Packing List
Mexico,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Rail, Commercial Invoice; Packing List
Brazil,China,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Canada,Germany,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Brazil,Singapore,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
United Kingdom,United States,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
South Africa,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
Australia,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Rail, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
South Africa,UAE,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Packing List
UAE,Australia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Mexico,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Rail, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
Singapore,Brazil,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Road, Commercial Invoice; Packing List
Mexico,UAE,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
Canada,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
United States,India,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Rail, Commercial Invoice; Import Export Code (IEC); Packing List
Singapore,Canada,870323,Yes,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
Singapore,South Africa,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
France,United States,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
South Africa,Germany,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
UAE,Brazil,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Indonesia,Germany,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Brazil,South Africa,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Road, Commercial Invoice; Insurance Certificate; Packing List
India,Germany,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Canada,UAE,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Australia,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
United Kingdom,South Africa,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Road, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
United States,Australia,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Rail, Commercial Invoice; Insurance Certificate; Packing List
China,UAE,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Road, Commercial Invoice; Insurance Certificate; Packing List
France,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Singapore,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Mexico,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
Germany,France,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Rail, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Brazil,China,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
China,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
Japan,Brazil,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Japan,Mexico,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Road, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Mexico,Australia,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Mexico,UAE,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Germany,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Singapore,Brazil,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
Japan,Indonesia,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Air, Commercial Invoice; Packing List
UAE,Mexico,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
Germany,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Rail, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
France,Germany,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
United Kingdom,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
India,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
UAE,Germany,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
South Africa,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Road, Commercial Invoice; Packing List
South Africa,UAE,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
China,Canada,620342,Yes,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Rail, Commercial Invoice; Packing List
Indonesia,Australia,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Road, Commercial Invoice; Packing List
Indonesia,China,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Singapore,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
China,Canada,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Sea, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Australia,South Africa,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Road, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
United States,UAE,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
UAE,South Africa,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
France,Mexico,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
UAE,Indonesia,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Australia,South Africa,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
United Kingdom,Indonesia,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Germany,Australia,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Sea, Commercial Invoice; Packing List
United Kingdom,South Africa,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Road, Commercial Invoice; Packing List
Brazil,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Brazil,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
India,UAE,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List
Japan,South Africa,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Japan,China,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Sea, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Canada,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
Singapore,Brazil,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
United Kingdom,Australia,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
Brazil,Indonesia,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Air, Commercial Invoice; Packing List; Type Approval Certificate
South Africa,Brazil,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Indonesia,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Rail, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Mexico,Germany,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
United States,China,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Air, Commercial Invoice; Packing List
India,Germany,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
France,Indonesia,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
India,Australia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, Commercial Invoice; Insurance Certificate; Packing List
India,Indonesia,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
United States,Canada,850440,Yes,Electronics,AC/DC power adapters,Pallets (200–800 kg),Air, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
United States,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Japan,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
Germany,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
France,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Rail, Commercial Invoice; Packing List
China,India,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; FSSAI Import Clearance; Import Export Code (IEC); Packing List; Phytosanitary Certificate
United Kingdom,Singapore,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Australia,Singapore,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, Commercial Invoice; Packing List
Mexico,South Africa,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Air, Commercial Invoice; Packing List
Germany,Mexico,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Brazil,Indonesia,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Indonesia,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Rail, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
France,South Africa,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
Canada,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Singapore,Australia,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Japan,Singapore,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Road, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Japan,United Kingdom,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Road, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Germany,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
United Kingdom,Canada,870323,Yes,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
South Africa,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Mexico,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Rail, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
UAE,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Brazil,India,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Road, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
Mexico,Canada,870323,Yes,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
Japan,India,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; FSSAI Import Clearance; Import Export Code (IEC); Insurance Certificate; Packing List; Phytosanitary Certificate
Mexico,South Africa,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Road, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
France,Singapore,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
Germany,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
India,UAE,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
